trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
143,False,"{'a': 0.4, 'e': 0.09224258918435976}",30,22,14.33569463585341,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
144,False,"{'a': 0.4, 'e': 0.09071795328941251}",25,11,26.14767266893942,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
145,False,"{'a': 0.4, 'e': 0.08921851740926011}",25,5,32.64717125468282,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
146,False,"{'a': 0.4, 'e': 0.08774386502429429}",25,14,19.447322450079717,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
147,False,"{'a': 0.4, 'e': 0.0862935864993705}",20,0,9.418735256736065,"{0: 18, 1: 0, 2: 2, 3: 0, 4: 0}",0
148,False,"{'a': 0.4, 'e': 0.0848672789700174}",30,22,13.578547722556829,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
149,False,"{'a': 0.4, 'e': 0.08346454623052782}",20,0,29.532038663666583,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
150,False,"{'a': 0.4, 'e': 0.0820849986238988}",20,5,23.18825019241871,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
151,False,"{'a': 0.4, 'e': 0.08072825293359119}",20,11,17.561930891860225,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
152,False,"{'a': 0.4, 'e': 0.07939393227707818}",25,18,11.667735384542004,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
153,False,"{'a': 0.4, 'e': 0.07808166600115313}",20,12,16.71773463931315,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
154,False,"{'a': 0.4, 'e': 0.07679108957896805}",20,9,13.126135411164242,"{0: 10, 1: 1, 2: 0, 3: 0, 4: 0}",1
155,False,"{'a': 0.4, 'e': 0.07552184450877376}",30,24,10.788552215502207,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
156,False,"{'a': 0.4, 'e': 0.07427357821433388}",30,8,36.88475283379165,"{0: 22, 1: 0, 2: 0, 3: 0, 4: 0}",1
157,False,"{'a': 0.4, 'e': 0.07304594394698456}",25,15,7.447254068796735,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 0}",1
158,False,"{'a': 0.4, 'e': 0.07183860068931329}",20,0,16.982875723022644,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
159,False,"{'a': 0.4, 'e': 0.0706512130604296}",20,13,14.03581000885665,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
160,False,"{'a': 0.4, 'e': 0.06948345122280154}",20,2,-10.706025250905702,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 1}",1
161,False,"{'a': 0.4, 'e': 0.06833499079063204}",20,0,31.78205872534745,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
162,False,"{'a': 0.4, 'e': 0.06720551273974978}",25,19,10.672675913340944,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
163,False,"{'a': 0.4, 'e': 0.06609470331898892}",20,6,25.033630111716136,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
164,False,"{'a': 0.4, 'e': 0.06500225396303451}",25,0,11.008941257804699,"{0: 22, 1: 2, 2: 1, 3: 0, 4: 0}",0
165,False,"{'a': 0.4, 'e': 0.06392786120670757}",25,5,33.67210758986538,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
166,False,"{'a': 0.4, 'e': 0.06287122660066725}",25,17,14.059947558806146,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
167,False,"{'a': 0.4, 'e': 0.061832056628506604}",30,23,15.677617726272558,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
168,False,"{'a': 0.4, 'e': 0.060810062625217945}",20,11,15.299019529740802,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
169,False,"{'a': 0.4, 'e': 0.0598049606970067}",25,20,9.137471689212372,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
170,False,"{'a': 0.4, 'e': 0.058816471642429875}",20,0,33.42005274381564,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
171,False,"{'a': 0.4, 'e': 0.05784432087483846}",20,11,20.720610782633862,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
172,False,"{'a': 0.4, 'e': 0.056888238346101516}",20,3,21.862614736920094,"{0: 16, 1: 0, 2: 1, 3: 0, 4: 0}",1
173,False,"{'a': 0.4, 'e': 0.05594795847159115}",20,8,11.375110893851271,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 0}",1
174,False,"{'a': 0.4, 'e': 0.05502322005640721}",20,2,-12.994079984991764,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 1}",1
